Comentário;Sentimento
Cultura, reconhecimento de melhorarias, todos tem voz, qualidade de vida;positivo
Muitas mudanças em muito pouco tempo;negativo
Trabalho remoto para sempre, empresa em crescimento;positivo
Salário baixo e existe pessoas entrando com salário bem mais alto, ESG muito forte;negativo
Bons beneficios, salário razoavel com mercado, ótimas equipes, usos de tecnologias atuais e ótimos feedbacks;positivo
Houve uma decisão na empresa que fez com que certas pessoas importantes de alto cargo saissem, a empresa perdeu seu rumo e logo em seguida ocorreram layoffs e realocações. Tudo isso causou descontentamento e burnout nos times. Tudo de positivo que havia sido construido até então, clima, organização, confiança, foi por agua a baixo;negativo
Era uma empresa ótima para se trabalhar.;positivo
"A empresa se perdeu, tocadores de bumbo que são mais palestrantes do linkedin do que líderes de times. A empresa se tornou uma das piores para se trabalhar no mercado, tem tocadores de bumbo que eram analistas de atendimento ao cliente e com uma carreira meteórica de um ex ""ditador"" deixou e criou o verdadeiro circo. Fazem demissões em massa com movimentos sem alarde, só no mês de Setembro, a folha diminuiu cerca de 120 pessoas. Tocador de bumbo de Ithealth é o mais perdido de toda a empresa, só que consegue enganar bem os times, pois é bom de papo e articulador de parcerias, mas técnicamente não é evoluido e não sabe fazer gestão de pessoas, 1:1 com ele é a pior situação que existe, pois são faz piadinhas e cria situações ruins.";negativo
Ambiente de trabalho amistoso e 100% em casa.;positivo
Empresa nova buscando equilibrio de despesas e lucro.;negativo
Salário compatível com o mercado financeiro, boas chances de desenvolvimento;positivo
O bônus anual poderia ser melhor;negativo
Empresa que permite aprender muito, recebendo o suporte das pessoas;positivo
Muita demanda, sempre empurrando coisa pra fazer gerando gargalo e stress;negativo
 Salário dentro da média do mercado  Anywhere Office  Bons benefícios;positivo
" Nenhuma perspectiva de crescimento, você fica mais de ano sem ao menos fazer PDI e quando faz não serve pra nada, você fica no mesmo cargo quase dois anos  Mudança de direcionamento constante, tudo muda o tempo todo vindo de cima  Demissões em massa de forma silenciosa  Área de QA quase extinta de tanta demissão (o que se percebe pela qualidade das APIs)  Área de design extinta sem razão  Péssimas lideranças, ninguém sabe nada  Falta de pessoas, sobrecarregando os funcionários  Negligência com áreas inteiras (vistas como menos importantes)  Estimulam o colaborador a não usar o plano de saúde e colocam como ""uma luta coletiva pra abaixar os custos""  Áreas de engenharia não tem diversidade  Área de produto não faz ideia do que ta fazendo, cada squad faz o seu e quando junta tudo nada funciona direito  Tecnicamente é horário flexível mas as calls não te deixam fugir da escala 9h18h  Equipamentos disponibilizados pra trabalho até tem qualidade mas enchem eles de softwares de monitoramento e segurança que deixam o computador impossível de trabalhar  Time de RH/People é tão ausente que você muitas vezes não sabe o nome de um deles  Se você precisar abrir um chamado pra qualquer área técnica de suporte você vai esperar MUITO até alguém te ajudar  PLR baixo  As más decisões financeiras da diretoria refletem em todos os funcionários e há uma romantizada na situação pra ninguém reclamar (""é uma luta de todos"", ""estamos demitindo por ser uma situação difícil pra empresa, tenham empatia conosco"" etc)";negativo
As pessoas, a cultura, a stack e os desafios.;positivo
O sistema legado e seu modelo de dados.;negativo
Tem bons benefícios, salário compatível com o mercado;positivo
Falta de organização na empresa em geral;negativo
A empresa, ao menos na área de Dados tinha uma organização excelente e desafios realmente interessantes com muita liberdade e flexibilidade de atuação. Remuneração okay com o mercado e um respeito muito grande por profissionais de tecnologia.;positivo
 A empresa passou por uma reestruturação recente, que impactou muito a cultura e o modus operandi de cada área  Houve um desacordo entre promessas e atitudes em relação ao bonus/plr, o que deixou um clima ruim.;negativo
Bons benefícios, especialmente VR e VA;positivo
Não existe planejamento de carreira, o que torna impossível de se conseguir uma promoção independente da importância das suas entregas.;negativo
Trabalho remoto e alguns benefícios.;positivo
 Maioria dos colaboradores estão desmotivados e cansados, são muitas horas extras e metas de entregas absurdas sem alinhar com os times que realmente irão executar.  Empresa totalmente desestruturada que valoriza a cultura do medo (quem grita mais alto ganha). Eles podem até te falar que as coisas estão evoluindo e se mostram abertos a te ouvir no começo, mas depois de um tempo você percebe que ser questionador não é algo bem visto, adaptese e aceite que será sempre assim.  Lideranças pouco estratégicas, as quais tomam a maioria das decisões baseadas na intuição e sem dados. Quase todas as decisões são top down, poucas vezes as pessoas tem autonomia para defender suas ideias (autonomia mesmo, não autonomia para ingles ver).  Não existe processo formal de avaliação de desempenho. Quando ocorre, é feito nas pressas, com poucas explicações e com resultados bem duvidosos.  Valorizam muito o cliente, mas esquecem totalmente do bemestar dos seus colaboradores. Resumindo, cultura e ambiente tóxico. Se pudesse voltar no passado, não teria aceitado vir para cá!;negativo
Bons salários Bons benefícios 100% home office Clientes variados Contatos;positivo
Falta de transparência Falta de ética Não cumprem q cultura que pregam Cultura baseada em puxação de saco;negativo
A empresa oferece ótimos benefícios como: assistência saúde digital e subsidio para medicamentos, parceria com zenklub, plano de saúde sem descontar do titular e trabalho 100% home office.;positivo
Diretoria centralizadora e participativa em temas do dia a dia, tudo é tratada como prioridade e desejam resolução do tema para ontem, sem compreender que há processos e terceiros envolvidos, poucos funcionários para a quantidade de demanda e sem interesse em contratar, querem que poucos funcionários dê conta de tudo.;negativo
Grandes desafios, mt aprendizado , zero rotina;positivo
Um olhar pouco voltado para os colaboradores;negativo
O salário é bom, pelo menos para mim;positivo
Empresa altamente tóxica, está retrocedendo no tempo, demissões silenciosas, chefes que cometem gaslighting e ninguém faz nada. A área de Business Implementation / set up é a pior! Os lideres sao machistas, com falas agressivas e geralmente quando contrariados, gritam nas reuniões causando desconforto e medo nas pessoas. Absolutamente, não existe Business Partner.;negativo
Empresa em crescimento, com ótimos benefícios;positivo
Muita bagunça nos processos, feedbacks não funcionam.;negativo
No geral a Dock foi uma boa empresa para se trabalhar, o ambiente é bom, 100% remoto (de verdade e funciona), tem bastante desafios principalmente para o time do core / tecnologia. O time de RH desempenha muito bem a função e tem tentado implementar ações valiosas para o employee experience.;positivo
No geral a Dock foi uma boa empresa para se trabalhar, mas apesar de ter 2.000 colaboradores, ainda é uma empresa de dono... E algumas decisões ainda são top down. Os projetos de PDI existem mas dependendo de quem for seu líder não irá evoluir. Inicialmente os salários não são competitivos, e promoções e méritos raramente acontecem no primeiro ano.;negativo
 salário acima do mercado  liberdade  empresa humanizada  meritrocracia  bônus de acordo com desempenho  plano de carreira  ótimos benefícios;positivo
Não presenciei nada que não tenha gostado;negativo
Ambiente maravilhoso, bastante cuidado com o funcionário, bom salário, horário flexível.;positivo
Planejamento para tornar estagiário em CLT;negativo
Empresa comprometida em oferecer treinamento;positivo
Hierarquia um pouco confusa entre superiores;negativo
Maior parte das pessoas se ajudam. Oportunidade para atuar com diversas tecnologias. Benefícios bons.;positivo
Altíssimo ritmo de trabalho Salário não é compatível se comparar o ritmo Dock Temos bônus, mas não é possível garantir qual o valor. Nao dá pra considerar que teremos bônus se comparado a outras fintechs ou bancos tradicionais. Time de gestão de pessoas não atua da forma devida em casos onde há ameaças/provocações;negativo
Remoto, Bom ambiente Bons benefícios;positivo
Tem que estar acostumado a mudanças;negativo
Algumas pessoas e alguns beneficios;positivo
Falta transaparencia, desconto de plano de saude;negativo
Bons Salários e Bons Benefícios.;positivo
Nenhum contra até o momento.;negativo
Empresa com diversidade, tecnológica e inovadora;positivo
falta de empatia com os funcionários;negativo
flexibilidade autonomia confiança liberdqde e desenvolvimento;positivo
talvez uma falta de clareza e orgnização no dia a dia;negativo
O fluxo de tarefas não é exagerado. Dá para se manter fazendo tudo dentro do horário;positivo
Falta um pouco de automatização dentro da empresa. A cultura não é tão focada em evolução da área de desenvolvimento.;negativo
 Ótimos benefícios para os colaboradores;positivo
 Gestão de produto deixou a desejar;negativo
Trabalho Remoto o que é muito bom e o Vale Refeição de 1300;positivo
Empresa ruim, sem estruturação e crescimento, quem cresce é quem puxa saco, isso é muito real! Meritocracia? nunca existiu;negativo
Bons Benefícios Boa Gestão Time competente;positivo
Diversas alterações e remanejamentos ao decorrer de um trimestre;negativo
Todas as semanas temos reuniões em que somos inseridos na realidade Dock para o mercado e isso é realmente animador.;positivo
Não vejo nada que seja ruim.;negativo
Pagam em dia, equipe operacional unida. Há pessoas que ajudam você mas não são a liderança.;positivo
Liderança não orienta sobre carreira, metas e projetos mal estruturados, não tem transparência com equipe dão data e a liderança técnica fica calada , acham normal não ter on boarding, cultura do “se vira”, poucas equipes mostram métricas de tecnologia e produtos. Todos vivem semanalmente war room.;negativo
empresa muito boa para iniciar carreira;positivo
não possui contras, muito boa;negativo
Aprendizado rápido, liberdade para tomada de decisões (mas em declínio), fácil relacionamento com outras áreas, empresa em constante crescimento, gestão por resultados em crescimento;positivo
Muito perdida em processos (muitas áreas ou nenhuma atuando como responsável), home office é tratado como benefício mas atrasa a empresa devido a dificuldade de integração entre os times, dificuldade de contratação e sobrecarga de trabalho para os times, péssima avaliação por parte dos clientes, remuneração variável muito baixa, time muito júnior, sem experiência de mercado.;negativo
Empresa dinâmica com mudança constante em prol do crescimento, para se adaptar ao ambiente precisa ter resiliência e flexibilidade, quem tem essas características com certeza irá se adaptar facilmente e aproveitar os desafios e a liberdade de crescimento.;positivo
"Para algumas lideranças falta atitude para desligar as pessoas ""amigas"", pessoas que já não fazem parte mais da cultura atual.";negativo
Empresa possui muitos benefícios, é 100% home office, o salário compatível com o mercado. Lugar com muita oportunidade de crescimento para níveis de carreira mais baixo.;positivo
Internamente os processos são desorganizados, existe um gargalo que sempre cai no time técnico e acaba sendo a equipe mais afetada em questão de sobrecarga de demanda e cobrança.;negativo
estabilidade, horario flexivel, bom pacote de beneficios;positivo
falta de comunicação, .... .....;negativo
É oferecido 1200 reais mensais de vale alimentação.;positivo
Para um aprendiz ser efetivado tem que esperar até o final do contrato de 2 anos;negativo
Pacote de benefícios excelentes e salario competitivo;positivo
Muitas mudanças de escopo nos projetos;negativo
 Ótimos benefícios  Bons salários  Trabalho remoto  Flexibilidade de horários  Ambiente agradável;positivo
 Setores em processo de reestruturação (ainda sem processos claros, KPIs, ferramental...);negativo
Anywehereoffice Benefícios Equipamentos processo de onboarding;positivo
