Comentário;Sentimento
A empresa realmente disponibiliza para o funcionário de uma gama completa de beneficios, tanto financeiramente quanto para apoio pessoal seja saude fisica, mental ou até mesmo de familiares. De fato por ser uma empresa multinacional não se tem tanta facilidade para galgar posições rapidamente, porém existe sim essa possibilidade, mesmo que pequena, o sistema de salários, bonificações e de recompensas é um bom sistema que diferentemenete de muitas outras multinacionais, se aproxima sim de fazer certa justiça ao seu desempenho. Gerentes de uma forma geral sao humanizados, sendo mais compreensiveis com questoes pessoais.;positivo
Para tanto beneficio, tanta coisa boa, entao nao poderia faltar trabalho, esse contra é relativo, mas se você espera que a carga de trabalho (não digo carga horaria, pois essa é bem flexivel) seja tranquila entao definitivamente essa posição não é pra você e se nao souber se organizar e lidar com um alto fluxo de trabalho, pode acarretar em quadros de estresse, não pela empresa em si, mas pela natureza do trabalho, que é suporte.;negativo
Adoro os valores da companhia, que impactam a sociedade dando espaço para seus colaboradores serem e viverem da forma como preferem. Em termos de produto, a Microsoft está em um momento mágico com a democratiazação da AI generativa. É incrível tudo que estamos vivendo!;positivo
O ambiente de trabalho é dinâmico, o que eu acho legal, mas muitas vezes pode se tornar corrido até demais com cargas de trabalho exorbitantes.;negativo
Adoro meu trabalho, meus colegas são incríveis e meu salário é ótimo também.;positivo
Chefe rude, me tratou mal quando cheguei na empresa.;negativo
Bom lugar e ambiente de trabalho;positivo
Não possuo nenhum reclamação sobre.;negativo
Muitas oportunidades de aprendizagem. Desafios no dia dia, e muita confiança do time em cada profissional.;positivo
Poucas oportunidades de migração para a sede, que fica nos EUA.;negativo
 Flexbilidade no Trabalho  Autogerencimento  Muitos benefícios  Férias flexíveis  Inclusão e Diversidade  Empresa sabe que o erro faz parte do aprendizado Evolução de carreira  Liberação de semana de estudo  10 dias além dos 30 de férias para descansar  Muitas Ferramentas para estudo  Acesso a todos as ferramentas da Microsoft  Bônus de desempenho;positivo
 Se não tiver um bom gerenciamento de tempo poderá prejudicar no work life balance;negativo
Há muita flexibilidade de horário para trabalhar. Há um ótimo equilíbrio entre vida profissional e pessoal.;positivo
Como a maioria dos colegas estão em RedmondWA, o overlap de horário é de apenas meio período, o que reduz o espaço comum para reunuões.;negativo
Sistemas que lidam com milhoes/bilhoes de transacoes por mes. Otimo ambiente para aprender.;positivo
Depende muito do time que voce vai trabalhar. Minha experiencia foi negativa. Comecei em um time novo, onde maior parte dos membros comecou no mesmo dia que eu. Muita ambiguidade no que se deve desenvolver e pouco suporte dos outros times que estavam trabalhando mais tempo nos servicos que deveriamos dar manutencao. Como maior parte do time era nova na empresa, sofremos muito no comeco ate conseguir entender os servicos. O gerente nao criava um ambiente amigavel onde podiamos aprender em nosso passo e cobrava o mesmo tipo de resultado desde niveis junior e senior.;negativo
Salário, benefícios, plano de carreira, home office;positivo
Não há nada que a desabone.;negativo
Todos são muito gentis e estão dispostos a ajudar! Uma empresa fantástica para se trabalhar.;positivo
Não tenho nada que desabone a empresa.;negativo
Base salary, Benefits, Growth Opportunity;positivo
Nothing to say, its okay for me;negativo
Trabalho bom, ambiente de trabalho perfeito;positivo
Não possuo nenhum contra de trabalhar lá;negativo
Ótimos Benefícios. Oportunidade de Crescimento;positivo
Não tem, não tem, não tem;negativo
Empresa super acolhedora com ambiente confortável para se trabalhar;positivo
Poderia ter mais filiais por interior de São Paulo;negativo
A liberdade de gerir tudo o que eu posso e devo.;positivo
Riscos em eventuais situações de layoffs;negativo
Paga bem, boa cultura, respeita o balanço entre trampo e vida pessoal (vai depender de cada org);positivo
Dificil encontrar boas documentações internas, dificil encontrar profissionais de outras equipes pra tirar duvidas, não possui VA;negativo
Além das remunerações que condizem com o esforço, é um ambiente extremamente agradável de trabalhar.;positivo
Muito trabalho para 1 pessoa sozinha fazer;negativo
Excelente empresa, muitos benefícios, projetos interessantes;positivo
Até então não vi nenhum problema;negativo
 Boa remuneração comparado com outras empresas do Brasil  Time muito inclusivo e humano  Não trabalha com pressão;positivo
 Só possui VR e não VA;negativo
Colegas de trabalho com um nível técnico excepcional, gama inimaginável de ferramentas, recursos e treinamentos pra chegar ao estadodaarte quando se trata de ALM e desenvolvimento de software em geral;positivo
Por ser big tech, uma certa falta de controle sobre seu plano de carreira dado que mudanças na gestao e no foco da empresa dita o ritmo da sua vida profissional;negativo
Melhor empresa em benefícios que ja trabalhei;positivo
Cultura do politicamente correto e mimimi torna a empresa muito chata, vc não pode nem falar um palavrão. Muitas estrelinhas e intrigas;negativo
Mercado muito grande, muito diversificado, remunerações muito boas.;positivo
Muito amplo, com diversas sítuções;negativo
Good salary, great benefits such as self development, certificates, mind health.;positivo
Sometimes there can be extra load, and you can be a little overwhelmed.;negativo
Empresa realmente se preocupa com seus funcionários, criando uma série de políticas internas que criam um ambiente seguro.;positivo
Existe uma cobrança velada por performance, e um ambiente que te faz cobrar mais de si próprio, buscando certificações constantes e se comparando com os demais.;negativo
A gestão da empresa é incrível para pouco tempo de mercado e seu potencial crescimento é inacreditável. Hoje a equipe conta com grandes colaboradores que fazem todos os setores serem ativos;positivo
Nenhum a comentar até onde sei;negativo
trabalho em condições boas e adequadas;positivo
salario baixo para tal qualificação;negativo
Good benefits, some good colleagues;positivo
Typical American company....will layoff without blinking an eye;negativo
Tem uma excelente cultura empresarial;positivo
Eu não vejo nenhum contra;negativo
Empoderamento, autonomia, desafios constantes e pacote de benefícios.;positivo
Existem processos muito engessados, que são modificado a cada ano.;negativo
Não atrasa pagamento, ferias, 13 etc.;positivo
Clima de competição. Correria! Obrigatorio o Inglês!;negativo
Estar na empresa pioneira de tecnologia e inteligência artificial, empresa global muito bem estruturada, excelente salário e benefícios, cultura muito forte e positiva.;positivo
Alguns líderes ainda precisam entender melhor a cultura e aplicar no dia a dia. Alguns processos não refletem agilidade e flexibilidade.;negativo
Salário, crescimento, relacionamento com funcionarios, bom ambiente e aprendizado;positivo
Não tem nenhum contra, empresa boa;negativo
 Flexible work hours  Great team;positivo
 Flexibility to move between teams  Not room to grow;negativo
Muito bom a entrevista Muito atenciosos Coerentes Prestativos Ótima remuneração;positivo
Não é muito bom Não é muito atenciosos Mal é corentes Não é prestativos Má remuneração;negativo
A empresa visa solucionar todos os problemas com seus funcionários e usuários.;positivo
Nenhum contra é evidente na empresa.;negativo
Flexibilidade, benefícios, trabalho remoto e remuneração;positivo
Não tenho nada a dizer.;negativo
A empresa paga um salário bom, tem diversos benefícios atrativos e muita oportunidade para trabalhar em diferentes áreas, independentemente da sua formação acadêmica.;positivo
É um empresa complexa, muito dependente de vendors para realização da operação (cuja troca é frequente, o que torna o dia a dia um caos) e com muitas pessoas que ainda tem a mentalidade da Microsoft que vendia CD de Office e não precisava se preocupar com o cliente, pois vendia de qualquer forma. Essa é uma parte que realmente me pegou de supresa, pois não é a mentalidade ensinada pela alta liderança (Satya Nadella, etc).;negativo
Essa empresa é boa, muito boa;positivo
Não há escritório no Palau;negativo
Excelente empresa para trabalhar, oportunidade de carreira!;positivo
Nao tenho nada a declarar sobre este ponto.;negativo
excelente aprendizado, recrutamento profissional e integro;positivo
dificil acesso s informações e conclusões;negativo
Grande oportunidade de aprendizagem e visibilidade;positivo
Existia elevada carga de trabalho;negativo
Ambiente, benefícios, salario acima do mercado, açoes, carro da empresa, oportunidades de desenvolvimento da carreira, bons equipamentos para trabalhar, bom staff de HR, facilities, e afins.;positivo
Como toda empresa grande, existe muita competição interna, processos muitas vezes mais burocráticos, etc.;negativo
Muito bom trabalhar nesta empresa;positivo
Não tenho nada contra a empresa;negativo
A Microsoft é uma empresa ótima para se trabalhar e iniciar uma carreira;positivo
Empresa excelente, nenhuma reclamação, realmente muito boa.;negativo
pro atividade da liderança e apoio da equipe;positivo
a Microsoft é uma empresa que exige o máximo das pessoas e as vezes isso é um pouco cansativo;negativo
Empresa que da muitos beneficios e pessoas muito inteligentes;positivo
nao tenho nenhum contra para falar da empresa;negativo
